pcon-code,pcon-nm,Name,Speed,Superfast,UnableDecent,Under2,Under10,Over30
E14000693,Epping Forest,Epping Forest,56.9,0.96587,0.01931,0.02070,0.19850,0.61440
E14000694,Epsom and Ewell,Epsom and Ewell,59.2,0.99632,0.00099,0.00700,0.15310,0.63570
E14000695,Erewash,Erewash,61.1,0.99274,0.00156,0.00760,0.15970,0.64280
E14000696,Erith and Thamesmead,Erith and Thamesmead,49.1,0.97796,0.01741,0.01420,0.23240,0.55530
E14000697,Esher and Walton,Esher and Walton,63.2,0.99148,0.00107,0.00810,0.13520,0.66990
E14000698,Exeter,Exeter,61,0.96900,0.02627,0.01230,0.21360,0.61610
S14000028,Falkirk,Falkirk,66.3,0.97957,0.00882,0.01040,0.17270,0.63830
E14000699,Fareham,Fareham,61.4,0.98400,0.00653,0.01500,0.16490,0.64140
E14000700,Faversham and Mid Kent,Faversham and Mid Kent,44.1,0.90209,0.03729,0.03290,0.19650,0.55190
E14000701,Feltham and Heston,Feltham and Heston,61.1,0.97481,0.01138,0.01450,0.21000,0.66680
N06000007,Fermanagh and South Tyrone,Fermanagh and South Tyrone,31.3,0.72988,0.15973,0.06250,0.30450,0.46000
E14000702,Filton and Bradley Stoke,Filton and Bradley Stoke,65.7,0.98001,0.00507,0.01700,0.15200,0.69410
E14000703,Finchley and Golders Green,Finchley and Golders Green,46.4,0.97794,0.00388,0.00620,0.14080,0.56150
E14000704,Folkestone and Hythe,Folkestone and Hythe,41.4,0.92427,0.03097,0.03010,0.19200,0.48600
E14000705,Forest of Dean,Forest of Dean,24.9,0.78273,0.10398,0.03540,0.32680,0.33250
N06000008,Foyle,Foyle,52.1,0.97803,0.00776,0.01490,0.14730,0.65520
E14000706,Fylde,Fylde,38.2,0.93429,0.01426,0.01900,0.20960,0.48250
E14000707,Gainsborough,Gainsborough,36.9,0.86160,0.07172,0.03060,0.21600,0.51310
E14000708,Garston and Halewood,Garston and Halewood,55.4,0.99414,0.00176,0.00880,0.15160,0.58100
E14000709,Gateshead,Gateshead,62.4,0.98894,0.00366,0.01000,0.16820,0.61670
E14000710,Gedling,Gedling,67.1,0.99657,0.00183,0.00620,0.11030,0.70800
E14000711,Gillingham and Rainham,Gillingham and Rainham,71.3,0.99064,0.00324,0.00820,0.12480,0.70010
S14000029,Glasgow Central,Glasgow Central,37.2,0.93578,0.00634,0.00620,0.14890,0.37210
S14000030,Glasgow East,Glasgow East,46.7,0.98545,0.00725,0.01570,0.21960,0.52360
S14000031,Glasgow North,Glasgow North,55.3,0.99430,0.00477,0.00560,0.14590,0.59650
S14000032,Glasgow North East,Glasgow North East,51.6,0.99272,0.00300,0.01000,0.18350,0.56200
S14000033,Glasgow North West,Glasgow North West,49.9,0.99742,0.00066,0.00660,0.19110,0.56280
S14000034,Glasgow South,Glasgow South,53,0.97925,0.00246,0.00730,0.16120,0.53120
S14000035,Glasgow South West,Glasgow South West,35.7,0.98240,0.00374,0.02850,0.25100,0.48530
S14000036,Glenrothes,Glenrothes,61.1,0.96621,0.01603,0.01240,0.16100,0.61570
E14000712,Gloucester,Gloucester,68,0.97526,0.01360,0.01700,0.16040,0.66580
S14000037,Gordon,Gordon,27.3,0.82025,0.09173,0.02950,0.27910,0.38450
E14000713,Gosport,Gosport,62.8,0.99844,0.00045,0.01490,0.13850,0.67610
W07000046,Gower,Gower,45.8,0.94996,0.01479,0.01850,0.16980,0.53170
E14000714,Grantham and Stamford,Grantham and Stamford,44.7,0.93866,0.01809,0.02090,0.20350,0.55340
E14000715,Gravesham,Gravesham,53.5,0.95819,0.00817,0.01520,0.19520,0.60310
E14000716,Great Grimsby,Great Grimsby,74.2,0.99318,0.00354,0.00580,0.12120,0.70440
E14000717,Great Yarmouth,Great Yarmouth,47.3,0.95679,0.01051,0.01420,0.17280,0.54590
E14000718,Greenwich and Woolwich,Greenwich and Woolwich,46.7,0.97063,0.01374,0.00810,0.16370,0.53490
E14000719,Guildford,Guildford,61,0.96167,0.00964,0.01710,0.15600,0.67180
E14000720,Hackney North and Stoke Newington,Hackney North and Stoke Newington,52.7,0.98950,0.00021,0.00540,0.13850,0.58280
E14000721,Hackney South and Shoreditch,Hackney South and Shoreditch,45.2,0.96205,0.00423,0.00560,0.14380,0.49750
E14000722,Halesowen and Rowley Regis,Halesowen and Rowley Regis,59.6,0.99777,0.00142,0.00670,0.15490,0.61190
E14000723,Halifax,Halifax,45.5,0.97835,0.00316,0.01590,0.22590,0.55600
E14000724,Haltemprice and Howden,Haltemprice and Howden,69,0.95057,0.02324,0.01020,0.14670,0.58930
E14000725,Halton,Halton,58,0.98443,0.00338,0.01790,0.18220,0.64390
E14000726,Hammersmith,Hammersmith,42.4,0.93916,0.00542,0.00600,0.14470,0.48310
E14000727,Hampstead and Kilburn,Hampstead and Kilburn,57.8,0.98239,0.00132,0.00340,0.09740,0.62860
E14000728,Harborough,Harborough,49.9,0.98140,0.00407,0.00750,0.14010,0.57990
E14000729,Harlow,Harlow,69.4,0.94138,0.01659,0.01710,0.17250,0.68720
E14000730,Harrogate and Knaresborough,Harrogate and Knaresborough,58,0.97726,0.00695,0.00830,0.13570,0.59400
E14000731,Harrow East,Harrow East,59.1,0.98288,0.01123,0.00830,0.18110,0.65050
E14000732,Harrow West,Harrow West,58.5,0.98074,0.00810,0.00780,0.16190,0.64230
E14000733,Hartlepool,Hartlepool,70.6,0.97732,0.01348,0.02510,0.15600,0.72780
E14000734,Harwich and North Essex,Harwich and North Essex,26.6,0.80490,0.09121,0.04440,0.26540,0.35320
E14000735,Hastings and Rye,Hastings and Rye,30.1,0.96614,0.00273,0.02720,0.25060,0.47480
E14000736,Havant,Havant,64.2,0.99259,0.00296,0.00800,0.14640,0.65270
E14000737,Hayes and Harlington,Hayes and Harlington,55.8,0.97251,0.01744,0.00930,0.18640,0.58960
E14000738,Hazel Grove,Hazel Grove,64.8,0.98581,0.00635,0.00820,0.14190,0.63800
E14000739,Hemel Hempstead,Hemel Hempstead,59.8,0.96102,0.01772,0.01860,0.17830,0.65570
E14000740,Hemsworth,Hemsworth,30.2,0.93074,0.01278,0.03090,0.24370,0.47710
E14000741,Hendon,Hendon,45.1,0.97542,0.00252,0.00740,0.19430,0.54450
E14000742,Henley,Henley,52.7,0.93686,0.01463,0.02330,0.18420,0.52230
E14000743,Hereford and South Herefordshire,Hereford and South Herefordshire,31.2,0.91332,0.03493,0.03890,0.29680,0.49010
E14000744,Hertford and Stortford,Hertford and Stortford,61.9,0.96957,0.00698,0.01120,0.14290,0.61460
E14000745,Hertsmere,Hertsmere,60.8,0.97723,0.00805,0.01020,0.16260,0.64960
E14000746,Hexham,Hexham,29.8,0.85489,0.06471,0.03690,0.21440,0.41730
E14000747,Heywood and Middleton,Heywood and Middleton,50.4,0.97709,0.00312,0.01220,0.19040,0.60630
E14000748,High Peak,High Peak,29,0.90099,0.03474,0.02900,0.22290,0.41850
E14000749,Hitchin and Harpenden,Hitchin and Harpenden,58.2,0.94603,0.01603,0.01670,0.13770,0.62570
E14000750,Holborn and St Pancras,Holborn and St Pancras,54.1,0.96445,0.00062,0.00530,0.10020,0.52550
E14000751,Hornchurch and Upminster,Hornchurch and Upminster,58,0.97945,0.00796,0.00900,0.16010,0.60610
E14000752,Hornsey and Wood Green,Hornsey and Wood Green,59.8,0.98638,0.00502,0.00510,0.12030,0.62930
E14000753,Horsham,Horsham,34.4,0.93071,0.01906,0.02230,0.21970,0.52830
E14000754,Houghton and Sunderland South,Houghton and Sunderland South,42.9,0.95769,0.01237,0.01770,0.22980,0.55170
E14000755,Hove,Hove,64.3,0.98762,0.00368,0.00630,0.11230,0.65960
E14000756,Huddersfield,Huddersfield,65.7,0.98918,0.00430,0.02220,0.22800,0.68650
E14000757,Huntingdon,Huntingdon,55.2,0.97078,0.01249,0.01440,0.16360,0.65160
E14000758,Hyndburn,Hyndburn,48,0.97585,0.00172,0.01660,0.19370,0.59160
E14000759,Ilford North,Ilford North,62,0.98531,0.01076,0.00960,0.16540,0.66530
E14000760,Ilford South,Ilford South,56.6,0.97911,0.00060,0.00460,0.11910,0.56480
S14000038,Inverclyde,Inverclyde,65.4,0.97578,0.00607,0.00880,0.12150,0.64080
S14000039,"Inverness, Nairn, Badenoch and Strathspey","Inverness, Nairn, Badenoch and Strathspey",28.8,0.84395,0.06088,0.03120,0.26910,0.42200
E14000761,Ipswich,Ipswich,59.1,0.99011,0.00263,0.01090,0.16710,0.63420
E14000762,Isle of Wight,Isle of Wight,30.4,0.94809,0.01027,0.01840,0.18620,0.42330
E14000763,Islington North,Islington North,59.3,0.98037,0.00503,0.00510,0.13210,0.58950
E14000764,Islington South and Finsbury,Islington South and Finsbury,50.8,0.93467,0.00178,0.00540,0.13620,0.51260
W07000077,Islwyn,Islwyn,29.2,0.96414,0.00344,0.02210,0.25640,0.47250
E14000765,Jarrow,Jarrow,63.7,0.97653,0.01110,0.02150,0.21370,0.65170
E14000766,Keighley,Keighley,48.5,0.95515,0.01502,0.01270,0.18460,0.52430
E14000767,Kenilworth and Southam,Kenilworth and Southam,42,0.92017,0.02697,0.03600,0.21240,0.53930
E14000768,Kensington,Kensington,55.8,0.96128,0.00783,0.00900,0.19480,0.55600
E14000769,Kettering,Kettering,59,0.98561,0.00750,0.01380,0.14410,0.60720
S14000040,Kilmarnock and Loudoun,Kilmarnock and Loudoun,40,0.95468,0.02434,0.02720,0.23120,0.51770
E14000770,Kingston and Surbiton,Kingston and Surbiton,65.5,0.98836,0.00370,0.00510,0.11360,0.67190
E14000771,Kingston upon Hull East,Kingston upon Hull East,90.2,0.97426,0.01521,0.00900,0.28030,0.55440
E14000772,Kingston upon Hull North,Kingston upon Hull North,72.3,0.98509,0.00684,0.00510,0.21350,0.50280
E14000773,Kingston upon Hull West and Hessle,Kingston upon Hull West and Hessle,67.3,0.97207,0.00890,0.00460,0.22140,0.45060
E14000774,Kingswood,Kingswood,68.8,0.99465,0.00106,0.00740,0.12910,0.69500
S14000041,Kirkcaldy and Cowdenbeath,Kirkcaldy and Cowdenbeath,48.6,0.98151,0.00317,0.01020,0.11500,0.52500
E14000775,Knowsley,Knowsley,61,0.99283,0.00223,0.01380,0.17950,0.65750
N06000009,Lagan Valley,Lagan Valley,44.9,0.91858,0.03034,0.03190,0.22970,0.58250
S14000042,Lanark and Hamilton East,Lanark and Hamilton East,49,0.95251,0.02289,0.01710,0.16650,0.53950
E14000776,Lancaster and Fleetwood,Lancaster and Fleetwood,50.9,0.95492,0.01096,0.01440,0.17410,0.42530
E14000777,Leeds Central,Leeds Central,49.9,0.93288,0.00909,0.01390,0.21180,0.52620
E14000778,Leeds East,Leeds East,58.9,0.99469,0.00703,0.00800,0.19190,0.59910
E14000779,Leeds North East,Leeds North East,62.5,0.99333,0.00330,0.01370,0.16910,0.64230
E14000780,Leeds North West,Leeds North West,54.3,0.95975,0.00824,0.01010,0.16260,0.57640
E14000781,Leeds West,Leeds West,61.1,0.99476,0.00425,0.01130,0.18940,0.64290
E14000782,Leicester East,Leicester East,55.2,0.99213,0.00683,0.00910,0.15590,0.59320
E14000783,Leicester South,Leicester South,62.4,0.98591,0.00133,0.00430,0.10760,0.62200
E14000784,Leicester West,Leicester West,66.4,0.99170,0.00776,0.00960,0.17660,0.69010
E14000785,Leigh,Leigh,63.4,0.99029,0.00226,0.01860,0.16750,0.68860
E14000786,Lewes,Lewes,30.8,0.95401,0.00863,0.01400,0.18610,0.43650
E14000787,Lewisham East,Lewisham East,52,0.99420,0.00130,0.00700,0.14140,0.58220
E14000788,Lewisham West and Penge,Lewisham West and Penge,48.6,0.97239,0.00660,0.00490,0.13390,0.51730
E14000789,"Lewisham, Deptford","Lewisham, Deptford",39.7,0.94325,0.00631,0.00840,0.22500,0.46670
E14000790,Leyton and Wanstead,Leyton and Wanstead,61,0.98490,0.00577,0.00560,0.12170,0.62700
E14000791,Lichfield,Lichfield,50.1,0.95764,0.01525,0.01200,0.16010,0.59180
E14000792,Lincoln,Lincoln,70.7,0.98912,0.00508,0.01640,0.13730,0.75150
S14000043,Linlithgow and East Falkirk,Linlithgow and East Falkirk,48.7,0.95514,0.01399,0.01230,0.20270,0.51140
E14000793,"Liverpool, Riverside","Liverpool, Riverside",45.9,0.89362,0.02139,0.00450,0.13260,0.45800
E14000794,"Liverpool, Walton","Liverpool, Walton",61.3,0.99615,0.00030,0.00690,0.11370,0.61790
E14000795,"Liverpool, Wavertree","Liverpool, Wavertree",60.7,0.99892,0.00121,0.00490,0.09230,0.60700
E14000796,"Liverpool, West Derby","Liverpool, West Derby",62.6,0.99817,0.00043,0.01580,0.19770,0.67490
S14000044,Livingston,Livingston,52,0.96605,0.01138,0.01480,0.18320,0.55810
W07000045,Llanelli,Llanelli,29.7,0.93950,0.02933,0.02870,0.22230,0.46170
E14000797,Loughborough,Loughborough,58.7,0.98556,0.00787,0.00950,0.13770,0.64890
E14000798,Louth and Horncastle,Louth and Horncastle,31.8,0.86229,0.05712,0.03770,0.24250,0.41800
E14000799,Ludlow,Ludlow,26.4,0.78612,0.11257,0.03890,0.28470,0.33850
E14000800,Luton North,Luton North,68.4,0.99932,0.00044,0.01610,0.16270,0.72480
E14000801,Luton South,Luton South,65.6,0.98698,0.00600,0.01660,0.14450,0.68750
E14000802,Macclesfield,Macclesfield,54.1,0.94479,0.02258,0.01750,0.17150,0.59360
E14000803,Maidenhead,Maidenhead,50.1,0.93049,0.02022,0.01820,0.17690,0.57980
E14000804,Maidstone and The Weald,Maidstone and The Weald,46.9,0.92469,0.02726,0.01920,0.18930,0.55980
E14000805,Makerfield,Makerfield,61.8,0.99088,0.00085,0.00820,0.14510,0.64180
E14000806,Maldon,Maldon,29.3,0.89625,0.02605,0.02570,0.24810,0.40460
E14000807,Manchester Central,Manchester Central,31.1,0.90408,0.02344,0.00750,0.24380,0.35460
E14000808,"Manchester, Gorton","Manchester, Gorton",42.9,0.98257,0.00568,0.01680,0.23530,0.55730
E14000809,"Manchester, Withington","Manchester, Withington",57.1,0.98381,0.00243,0.00500,0.14430,0.62960
E14000810,Mansfield,Mansfield,61.7,0.98910,0.00164,0.00960,0.16500,0.67820
E14000811,Meon Valley,Meon Valley,49.9,0.91855,0.03538,0.02230,0.21790,0.54950
E14000812,Meriden,Meriden,59.5,0.97044,0.01477,0.01280,0.15850,0.63860
W07000071,Merthyr Tydfil and Rhymney,Merthyr Tydfil and Rhymney,29.1,0.96628,0.00435,0.02720,0.28010,0.47570
E14000813,Mid Bedfordshire,Mid Bedfordshire,52.5,0.94427,0.01674,0.02620,0.17710,0.56260
E14000814,Mid Derbyshire,Mid Derbyshire,50,0.96893,0.00693,0.02210,0.16800,0.60070
E14000815,Mid Dorset and North Poole,Mid Dorset and North Poole,46.3,0.93775,0.01025,0.01500,0.20690,0.54450
E14000816,Mid Norfolk,Mid Norfolk,28.6,0.85331,0.05338,0.03800,0.24840,0.41090
E14000817,Mid Sussex,Mid Sussex,33.5,0.95471,0.00629,0.01090,0.18630,0.49680
N06000010,Mid Ulster,Mid Ulster,31.9,0.78073,0.09924,0.04700,0.23940,0.45390
E14000818,Mid Worcestershire,Mid Worcestershire,32.2,0.92219,0.02046,0.02730,0.24880,0.49350
E14000819,Middlesbrough,Middlesbrough,64.9,0.98117,0.01474,0.01300,0.18340,0.61300
E14000820,Middlesbrough South and East Cleveland,Middlesbrough South and East Cleveland,65.1,0.95722,0.01891,0.01390,0.15230,0.60620
S14000045,Midlothian,Midlothian,28.2,0.92392,0.03371,0.03560,0.26660,0.44250
E14000821,Milton Keynes North,Milton Keynes North,32.8,0.96460,0.01631,0.02950,0.26000,0.52520
E14000822,Milton Keynes South,Milton Keynes South,35.1,0.97299,0.00707,0.03270,0.25200,0.55850
E14000823,Mitcham and Morden,Mitcham and Morden,60.1,0.98678,0.00788,0.00750,0.16710,0.64890
E14000824,Mole Valley,Mole Valley,43.6,0.92619,0.01029,0.01860,0.18990,0.54150
W07000054,Monmouth,Monmouth,27.4,0.84062,0.07868,0.04110,0.32770,0.39000
W07000063,Montgomeryshire,Montgomeryshire,24.9,0.80587,0.12247,0.06720,0.38080,0.31370
S14000046,Moray,Moray,28,0.84340,0.07651,0.03200,0.27310,0.39410
E14000825,Morecambe and Lunesdale,Morecambe and Lunesdale,69.7,0.98657,0.00424,0.01280,0.20980,0.50770
E14000826,Morley and Outwood,Morley and Outwood,43.1,0.96500,0.01145,0.01800,0.22700,0.53140
S14000047,Motherwell and Wishaw,Motherwell and Wishaw,66.8,0.99579,0.00255,0.00820,0.13960,0.65310
S14000027,Na h-Eileanan an Iar,Na h-Eileanan an Iar,29.4,0.71783,0.15272,0.04780,0.29770,0.41140
W07000069,Neath,Neath,47.2,0.96445,0.00872,0.01520,0.17310,0.55420
E14000827,New Forest East,New Forest East,37.4,0.90067,0.03624,0.02570,0.24220,0.49150
E14000828,New Forest West,New Forest West,29.5,0.93001,0.02089,0.02240,0.22590,0.40660
E14000829,Newark,Newark,49.9,0.95048,0.01912,0.02400,0.17510,0.59540
E14000830,Newbury,Newbury,61.7,0.94316,0.02085,0.02140,0.20490,0.48800
E14000831,Newcastle upon Tyne Central,Newcastle upon Tyne Central,50.2,0.95894,0.00177,0.00520,0.12130,0.51220
E14000832,Newcastle upon Tyne East,Newcastle upon Tyne East,57.9,0.97648,0.00823,0.00620,0.14140,0.61690
E14000833,Newcastle upon Tyne North,Newcastle upon Tyne North,41.6,0.97310,0.01108,0.02030,0.24690,0.52630
E14000834,Newcastle-under-Lyme,Newcastle-under-Lyme,57.8,0.98124,0.00573,0.01700,0.19090,0.64170
W07000055,Newport East,Newport East,55,0.97078,0.01389,0.01350,0.17970,0.60840
W07000056,Newport West,Newport West,53.3,0.97859,0.00692,0.01630,0.19850,0.61000
N06000011,Newry and Armagh,Newry and Armagh,30.7,0.82769,0.07651,0.05470,0.26570,0.44540
E14000835,Newton Abbot,Newton Abbot,41.7,0.92049,0.03198,0.01900,0.21770,0.47490
E14000836,"Normanton, Pontefract and Castleford","Normanton, Pontefract and Castleford",40.6,0.97621,0.01187,0.01700,0.21100,0.51650
N06000012,North Antrim,North Antrim,32.3,0.84756,0.07600,0.04010,0.24500,0.47100
S14000048,North Ayrshire and Arran,North Ayrshire and Arran,27.1,0.93243,0.01903,0.01580,0.22570,0.37730
E14000837,North Cornwall,North Cornwall,25.1,0.87905,0.05393,0.04070,0.28330,0.31690
E14000838,North Devon,North Devon,30.3,0.85851,0.07659,0.03820,0.25140,0.43810
E14000839,North Dorset,North Dorset,29.6,0.87245,0.04303,0.03130,0.21420,0.42440
N06000013,North Down,North Down,39.6,0.98052,0.00470,0.02150,0.20000,0.59770
E14000840,North Durham,North Durham,30.3,0.93399,0.02078,0.01820,0.22530,0.44980
E14000841,North East Bedfordshire,North East Bedfordshire,49.7,0.93929,0.02327,0.02840,0.17780,0.59560
E14000842,North East Cambridgeshire,North East Cambridgeshire,37.7,0.93611,0.02294,0.01740,0.17180,0.48040
E14000843,North East Derbyshire,North East Derbyshire,29.5,0.90453,0.02408,0.02840,0.27400,0.46150
S14000049,North East Fife,North East Fife,31.8,0.90421,0.04345,0.01900,0.19970,0.41950
E14000844,North East Hampshire,North East Hampshire,54.9,0.93410,0.02070,0.01520,0.16100,0.60800
E14000845,North East Hertfordshire,North East Hertfordshire,50.9,0.92044,0.03157,0.01600,0.16440,0.51970
E14000846,North East Somerset,North East Somerset,38,0.85753,0.04075,0.02830,0.21830,0.45320
E14000847,North Herefordshire,North Herefordshire,27,0.78771,0.08565,0.05010,0.30770,0.35470
E14000848,North Norfolk,North Norfolk,28.8,0.86488,0.05155,0.03080,0.24160,0.38160
E14000849,North Shropshire,North Shropshire,30.6,0.86869,0.05652,0.03950,0.24570,0.43920
E14000850,North Somerset,North Somerset,46.4,0.92443,0.03015,0.01700,0.20840,0.51770
E14000851,North Swindon,North Swindon,56.6,0.92891,0.03128,0.01310,0.19660,0.56210
E14000852,North Thanet,North Thanet,30.2,0.96040,0.00922,0.01710,0.20870,0.45090
E14000853,North Tyneside,North Tyneside,44.3,0.97848,0.01177,0.01160,0.24090,0.52590
E14000854,North Warwickshire,North Warwickshire,43.8,0.96278,0.01217,0.02250,0.18590,0.53410
E14000855,North West Cambridgeshire,North West Cambridgeshire,49.2,0.95618,0.01455,0.02410,0.17840,0.61080
E14000856,North West Durham,North West Durham,30.1,0.92415,0.02013,0.02690,0.22790,0.46310
E14000857,North West Hampshire,North West Hampshire,44.7,0.91907,0.03624,0.01890,0.19830,0.53110
E14000858,North West Leicestershire,North West Leicestershire,56.7,0.96053,0.01154,0.01800,0.15570,0.62790
E14000859,North West Norfolk,North West Norfolk,29.4,0.91232,0.02543,0.03060,0.25970,0.44010
E14000860,North Wiltshire,North Wiltshire,104.4,0.88233,0.05090,0.02680,0.21100,0.47730
E14000861,Northampton North,Northampton North,65.4,0.99373,0.00185,0.00680,0.18410,0.65460
E14000862,Northampton South,Northampton South,60.3,0.99740,0.00116,0.00820,0.15260,0.62930
E14000863,Norwich North,Norwich North,61.2,0.99591,0.00180,0.01200,0.19760,0.66670
E14000864,Norwich South,Norwich South,59.5,0.98702,0.00592,0.00780,0.14720,0.65190
E14000865,Nottingham East,Nottingham East,62.7,0.96977,0.00013,0.00530,0.12930,0.65010
E14000866,Nottingham North,Nottingham North,69.1,0.99797,0.00127,0.00960,0.17160,0.69900
E14000867,Nottingham South,Nottingham South,66.1,0.97910,0.00763,0.01320,0.15710,0.65550
E14000868,Nuneaton,Nuneaton,58.1,0.98991,0.00393,0.01590,0.17890,0.66860
